hashtag,parent_hashtag,category,w1,3d1,3d2,3d3,zipper,charging
chivasclubs,football,object,False,False,True,False,False,False
chopper,onepiece,object,False,True,False,True,True,True
christmas,holiday,object,True,True,True,True,True,True
christmasanimals,christmas,object,True,True,False,True,True,True
christmascharacter,christmas,object,True,True,False,True,True,True
christmasforcatholics,christmas,object,True,True,False,True,True,True
christmastree,christmas,object,True,True,False,True,True,True
chucky,film,object,True,True,True,True,True,True
cidkagenou,fairytail,object,False,False,True,False,False,False
cincodemayo,holiday,object,False,False,False,True,True,True
cinnamoroll,sanrio,object,False,True,True,False,False,False
city,nature,object,True,True,False,True,True,True
clbpachuca,football,object,True,False,True,False,False,False
clevelandbrown,familyguy,object,False,False,False,True,True,True
cloud,sky,object,False,True,False,False,False,False
clover,nature,object,True,False,False,False,False,False
clubamerica,football,object,True,False,False,False,False,False
clubamérica,football,object,False,False,True,False,False,False
coco,disney,object,False,False,False,True,True,True
code,hacker,object,False,True,False,True,True,True
colombianationalteam,football,object,False,True,False,False,False,False
colosseum,nature,object,False,True,False,False,False,False
combatant,game,object,False,True,True,False,False,False
conan,anime,object,True,False,False,True,True,True
conanedogawa,character,object,False,False,True,False,False,False
cool,,object,True,True,True,True,True,True
corinthians,football,object,True,True,True,False,False,False
couple,love,object,True,True,True,True,True,True
courage,couragethecowardlydog,object,False,True,False,False,False,False
couragethecowardlydog,cartoon,object,False,True,False,True,True,True
cow,animal,object,False,True,False,True,True,True
cowboy,humans,object,False,False,False,True,True,True
crashbandicoot,game,object,False,True,False,False,False,False
crayonshinchan,anime,object,False,False,False,True,True,True
cricket,sport,object,True,True,True,True,True,True
croatianationalteam,football,object,False,True,False,False,False,False
cross,religion,object,True,True,True,True,True,True
crownofthorns,god,object,False,True,True,False,False,False
crvascodagama,football,object,False,True,True,False,False,False
crybaby,cartoon,object,False,True,False,True,True,True
cubone,pokemon,object,False,False,False,True,True,True
curacaonationalteam,football,object,False,True,False,False,False,False
cutecharacter,cartoon,object,False,True,False,False,False,False
cyberpunk2077,game,object,False,True,False,False,False,False
