hashtag,parent_hashtag,category,w1,3d1,3d2,3d3,zipper,charging
newyorkcity,nature,object,False,True,True,False,False,False
newzealandnationalteam,football,object,False,True,False,False,False,False
neymar,football,object,True,True,True,True,True,True
nezuko,demonslayer,object,True,True,True,False,False,False
nezukokamado,demonslayer,object,False,False,False,True,True,True
nfl,americanfootball,object,True,False,False,False,False,False
nickwilde,zootopia,object,False,True,False,False,False,False
nightmarebeforechristmas,film,object,True,True,True,True,True,True
nike,logo,object,True,False,False,False,False,False
nikolajokić,basketball,object,False,True,False,False,False,False
ninja,humans,object,False,False,False,True,True,True
nissan,car,object,True,False,False,False,False,False
noman’ssky,game,object,False,False,True,False,False,False
nor,football,object,False,False,False,True,True,True
northernlightstonight,nature,object,False,True,True,False,False,False
norwaynationalteam,football,object,False,True,False,False,False,False
nowyouseeme,film,object,False,True,True,True,True,True
obanai,demonslayer,object,True,False,False,False,False,False
obanaiiguro,demonslayer,object,False,True,False,False,False,False
obito,naruto,object,True,False,False,False,False,False
ocean,nature,object,False,False,False,True,True,True
oggyandthecockroaches,cartoon,object,False,True,False,False,False,False
onepiece,anime,object,True,True,True,True,True,True
onepieceliveaction,film,object,True,True,True,True,True,True
onepunchman,anime,object,True,False,False,True,True,True
oppenheimer,film,object,False,False,False,True,True,True
orochimaru,naruto,object,False,False,True,False,False,False
oshinoko,anime,object,False,False,False,True,True,True
other,,object,True,True,True,True,True,True
overlord,anime,object,False,False,False,True,True,True
owl,animal,object,False,False,True,False,False,False
paddington,cartoon,object,False,False,False,True,True,True
pagoda,nature,object,True,False,False,False,False,False
pain,naruto,object,True,True,True,False,False,False
palmeiras,football,object,True,True,True,False,False,False
panamanationalteam,football,object,False,True,False,False,False,False
panda,animal,object,True,True,True,True,True,True
panther,animal,object,True,True,True,False,False,False
paraguaynationalteam,football,object,False,True,False,False,False,False
parissaintgermain,football,object,True,True,True,True,True,True
pathway,other,object,True,False,False,False,False,False
pattern,abstract,object,True,True,True,True,True,True
peacock,animal,object,True,True,True,True,True,True
peanuts,cartoon,object,True,False,False,True,True,True
penguins,animal,object,True,False,False,True,True,True
pennywise,it,object,True,True,True,True,True,True
peony,flowers,object,True,False,False,True,True,True
people,,object,True,True,True,False,False,False
pesopluma,celeb,object,False,False,False,True,True,True
pet,animal,object,True,False,False,True,True,True
petergriffin,familyguy,object,False,False,False,True,True,True
philfoden,football,object,False,True,True,False,False,False
phoenix,animal,object,True,True,True,True,True,True
phoenixsuns,basketball,object,False,False,False,True,True,True
piccolo,dragonball,object,False,True,True,True,True,True
pig,animal,object,True,False,False,True,True,True
pikachu,pokemon,object,True,True,True,True,True,True
piratesofthecaribbean,film,object,False,False,True,False,False,False
pisces,zodiac,object,True,False,True,False,False,False
pitbull,dog,object,False,True,True,False,False,False
plane,vehicle,object,True,False,False,False,False,False
planet,universe,object,True,True,True,True,True,True
pochacco,sanrio,object,False,True,True,False,False,False
pocoyo,cartoon,object,True,True,True,True,True,True
pokemon,anime,object,True,True,True,True,True,True
ponyo,anime,object,False,True,False,True,True,True
popmart,other,object,True,True,True,True,True,True
poppy,flower,object,False,True,False,False,False,False
popular,other,object,True,True,True,False,False,False
por,football,object,False,False,False,True,True,True
porsche,car,object,True,True,True,True,True,True
portugal,religion,object,True,False,False,False,False,False
portugalnationalteam,football,object,True,True,True,False,False,False
predator,film,object,True,False,False,True,True,True
premium,other,object,False,True,True,False,False,False
princessbubblegum,adventuretime,object,False,False,False,True,True,True
princessmononoke,anime,object,False,True,False,False,False,False
projecthailmary,film,object,False,False,False,True,True,True
psyduck,pokemon,object,False,False,False,True,True,True
pubg,game,object,True,False,False,True,True,True
pusheen,cartoon,object,False,True,False,False,False,False
qatarnationalteam,football,object,False,True,False,False,False,False
quote,,object,True,True,True,True,True,True
rabbit,animal,object,True,True,True,True,True,True
railwaytracks,vietnam,object,False,False,True,False,False,False
rain,nature,object,True,True,True,True,True,True
rainbow,nature,object,False,False,False,True,True,True
ram,rezero,object,False,False,False,True,True,True
ramadan,holiday,object,True,True,True,True,True,True
rangoli,abstract,object,False,False,True,False,False,False
ranma,anime,object,False,False,False,True,True,True
ranmouri,conan,object,False,False,False,True,True,True
raphinha,football,object,True,False,False,False,False,False
rapunzel,waltdisney,object,False,True,False,False,False,False
realmadrid,football,object,True,True,True,True,True,True
regularshow,cartoon,object,False,True,False,True,True,True
reimuhakurei,touhouproject,object,True,True,True,False,False,False
reindeer,animal,object,True,True,True,False,False,False
religion,,object,True,True,True,True,True,True
rem,rezero,object,False,True,True,True,True,True
rengoku,demonslayer,object,True,False,True,True,True,True
rezero,anime,object,True,True,True,True,True,True
riceterrace,vietnam,object,False,True,True,False,False,False
rickandmorty,cartoon,object,True,True,True,True,True,True
rimuru,tenseishitaraslimedattaken,object,False,True,False,False,False,False
rimurutempest,anime,object,True,False,True,False,False,False
river,nature,object,True,True,True,False,False,False
road,nature,object,True,True,False,True,True,True
ronaldo,football,object,True,True,True,True,True,True
rooster,animal,object,True,True,True,False,False,False
rosalina,mario,object,False,True,True,False,False,False
rose,flowers,object,True,True,True,True,True,True
rugby,sport,object,False,True,True,False,False,False
ryomensukuna,jujutsukaisen,object,False,False,False,True,True,True
saber,fate,object,False,False,False,True,True,True
sadquote,quote,object,False,False,False,True,True,True
sagittarius,zodiac,object,True,False,True,False,False,False
sailormoon,anime,object,False,False,False,True,True,True
saint,religion,object,True,True,True,False,False,False
saitama,onepunchman,object,True,False,False,False,False,False
sakamotodays,anime,object,False,False,False,True,True,True
sakura,naruto,object,False,True,True,True,True,True
samurai,game,object,True,True,True,True,True,True
sanemi,demonslayer,object,False,True,False,False,False,False
sanji,onepiece,object,True,True,False,True,True,True
sanrio,anime,object,True,True,True,True,True,True
sans,game,object,True,True,True,False,False,False
santaclaus,christmas,object,True,True,False,True,True,True
saopaulofc,football,object,False,False,True,False,False,False
saraswati,hindugods,object,False,True,True,False,False,False
sasuke,naruto,object,True,True,True,True,True,True
satorugojo,jujutsukaisen,object,False,False,False,True,True,True
saudiarabianationalteam,football,object,False,True,False,False,False,False
scarletwitch,marvel,object,False,False,False,True,True,True
sccorinthianspaulista,football,object,False,False,False,True,True,True
scenery,,object,False,False,False,True,True,True
sci-fi,film,object,True,True,True,False,False,False
scoobydoo,cartoon,object,False,True,False,False,False,False
scorpio,zodiac,object,True,False,True,False,False,False
scotlandnationalteam,football,object,False,True,False,False,False,False
scream,film,object,True,True,True,True,True,True
scrooge,christmas,object,False,True,False,False,False,False
season,,object,False,False,False,True,True,True
senegalnationalteam,football,object,False,True,False,False,False,False
senku,drstone,object,False,True,True,False,False,False
sepalmeiras,football,object,False,False,False,True,True,True
shanks,onepiece,object,False,True,False,False,False,False
sharingan,naruto,object,True,True,True,True,True,True
shark,animal,object,False,True,True,False,False,False
sheep,animal,object,False,False,False,True,True,True
shengongbao,natra,object,False,False,False,True,True,True
shihouinyoruichi,bleach,object,False,False,False,True,True,True
shinazugawasanemi,demonslayer,object,False,False,True,False,False,False
shinchan,anime,object,True,True,True,True,True,True
shinobu,demonslayer,object,True,True,True,True,True,True
ship,vehicle,object,True,True,True,True,True,True
shoyohinata,haikyu,object,False,False,False,True,True,True
shrek,cartoon,object,False,True,False,False,False,False
sillyface,other,object,True,True,True,True,True,True
skeleton,cool,object,True,True,True,True,True,True
skiing,sport,object,False,False,False,True,True,True
skull,cool,object,True,True,True,True,True,True
skullsoldier,people,object,False,False,True,False,False,False
sky,nature,object,True,True,True,True,True,True
slamdunk,anime,object,False,False,False,True,True,True
smoke,abstract,object,True,True,True,True,True,True
snake,animal,object,True,True,True,False,False,False
sneakernike,sport,object,True,False,False,False,False,False
snoopy,peanuts,object,True,True,True,False,False,False
snowboarding,sport,object,False,False,False,True,True,True
snowman,christmas,object,False,False,True,True,True,True
soldier,independenceday,object,True,True,True,True,True,True
sololeveling,anime,object,True,True,True,True,True,True
sonheungmin,football,object,True,False,False,True,True,True
sonic,film,object,True,True,True,True,True,True
sora,kingdomhearts,object,True,True,True,False,False,False
souls,game,object,True,False,False,False,False,False
southafricanationalteam,football,object,False,True,False,False,False,False
spaceship,universe,object,True,True,True,True,True,True
spain,religion,object,True,False,False,False,False,False
spainnationalteam,football,object,False,True,False,False,False,False
spider,animal,object,True,True,True,False,False,False
spiderman,marvel,object,True,True,True,True,True,True
spirit,other,object,False,False,True,False,False,False
spiritedaway,ghibli,object,False,False,False,True,True,True
spongebob,cartoon,object,True,False,False,True,True,True
spongebobsquarepants,cartoon,object,False,True,True,False,False,False
sport,,object,True,True,True,True,True,True
spring,nature,object,True,False,False,True,True,True
spyxfamily,anime,object,True,True,False,True,True,True
squidgame,film,object,False,False,True,False,False,False
squidward,spongebobsquarepants,object,False,True,True,False,False,False
squirrel,animal,object,False,False,False,True,True,True
squirtle,pokemon,object,False,False,False,True,True,True
ssscnapoli,football,object,False,True,False,False,False,False
st.patrick’sday,holiday,object,False,True,True,False,False,False
stars,sky,object,False,True,False,False,False,False
starwars,film,object,True,True,True,True,True,True
statue,other,object,False,True,False,False,False,False
stephencurry,basketball,object,False,True,False,True,True,True
stewiegriffin,familyguy,object,False,False,False,True,True,True
sticker,other,object,True,False,False,False,False,False
stickers,other,object,False,True,False,False,False,False
stitch,waltdisney,object,True,True,True,True,True,True
stone,other,object,True,True,True,True,True,True
storm,nature,object,True,True,False,True,True,True
strangerthings,film,object,True,True,True,True,True,True
straykids,people,object,True,True,True,False,False,False
subaru,rezero,object,False,False,False,True,True,True
sukuna,jujutsukaisen,object,True,True,True,False,False,False
summer,nature,object,True,True,True,True,True,True
sunflower,flowers,object,True,True,True,True,True,True
sungjinwoo,sololeveling,object,True,False,False,True,True,True
sunny,nature,object,True,False,False,False,False,False
sunset,nature,object,False,False,True,False,False,False
superbowl,sport,object,False,False,False,True,True,True
superman,dc,object,True,True,True,True,True,True
swedennationalteam,football,object,False,True,False,False,False,False
switzerlandnationalteam,football,object,False,True,False,False,False,False
sword,game,object,False,True,True,True,True,True
swordartonline,anime,object,False,False,False,True,True,True
sylveon,pokemon,object,False,True,False,False,False,False
sãopaulofc,football,object,True,True,False,True,True,True
taiwan,religion,object,True,False,False,False,False,False
tanjiro,demonslayer,object,True,True,True,False,False,False
tanjirokamado,demonslayer,object,False,False,False,True,True,True
taurus,zodiac,object,True,False,True,False,False,False
taylorswift,celeb,object,False,False,False,True,True,True
technology,,object,True,True,True,False,False,False
tengen,demonslayer,object,True,True,True,False,False,False
tennis,sport,object,True,True,True,False,False,False
tenseishitaraslimedattaken,anime,object,False,True,True,False,False,False
thailand,religion,object,True,False,False,False,False,False
thanksgiving,holiday,object,True,True,True,True,True,True
thanos,marvel,object,False,False,False,True,True,True
theaddamsfamily,film,object,True,True,True,True,True,True
theamazingworldofgumball,cartoon,object,False,False,False,True,True,True
theboys,film,object,False,False,False,True,True,True
theeminenceinshadow,anime,object,False,False,True,False,False,False
theflash,dc,object,False,True,True,True,True,True
thegarfield,cartoon,object,False,True,False,False,False,False
thegodofhighschool,anime,object,False,False,False,True,True,True
thehungergames,film,object,True,False,True,False,False,False
theironclaw,film,object,False,False,False,True,True,True
theknight,hollowknight,object,False,True,True,False,False,False
thepowerpuffgirls,cartoon,object,False,True,False,False,False,False
thepredator,film,object,False,True,True,False,False,False
thesecretlifeofpets,cartoon,object,True,False,False,False,False,False
thesevendeadlysins,anime,object,False,True,True,False,False,False
thesimpsons,cartoon,object,True,False,True,True,True,True
thesimpsonsmovie,film,object,False,False,True,False,False,False
thestarrynight,abstract,object,False,True,False,False,False,False
thor,marvel,object,True,True,True,True,True,True
tianguancifu,manhua,object,False,False,False,True,True,True
tiger,animal,object,True,True,True,True,True,True
tobiokageyama,haikyu,object,False,False,False,True,True,True
todoroki,myheroacademia,object,True,False,False,False,False,False
toji,jujutsukaisen,object,False,True,False,False,False,False
tojifushiguro,jujutsukaisen,object,False,False,False,True,True,True
tokaiteio,umamusume,object,False,False,True,False,False,False
tokyo,japan,object,True,True,True,False,False,False
tokyoghoul,anime,object,True,True,True,False,False,False
tokyorevengers,anime,object,True,False,False,False,False,False
tomandjerry,cartoon,object,True,True,True,True,True,True
tomiokagiyu,demonslayer,object,False,False,True,False,False,False
tomura,myheroacademia,object,False,False,True,False,False,False
toothless,howtotrainyourdragon,object,False,True,True,False,False,False
torii,japan,object,False,True,True,False,False,False
toriigate,japan,object,True,False,False,False,False,False
toruhagakure,anime,object,False,True,False,False,False,False
toshirohitsugaya,bleach,object,False,False,False,True,True,True
totoro,anime,object,True,True,False,True,True,True
touhouproject,game,object,True,True,True,False,False,False
tower,nature,object,True,False,False,False,False,False
toyota,car,object,True,True,True,True,True,True
toystory,cartoon,object,True,True,True,True,True,True
train,vehicle,object,True,True,False,True,True,True
transformers,film,object,True,True,True,False,False,False
travisscott,celeb,object,False,False,False,True,True,True
tree,nature,object,True,True,True,True,True,True
trending,other,object,True,True,True,False,False,False
tronares,film,object,True,True,True,False,False,False
tropicalchristmas,christmas,object,False,True,False,True,True,True
trunks,dragonball,object,False,False,False,True,True,True
tsubasajinnouchi,dandadan,object,False,False,False,True,True,True
tulip,flowers,object,True,True,True,False,False,False
tunisianationalteam,football,object,False,True,False,False,False,False
turtle,animal,object,True,True,True,False,False,False
twinkletwinkle,popmart,object,False,False,False,True,True,True
txt,people,object,True,True,True,False,False,False
türkiyenationalteam,football,object,False,True,False,False,False,False
u23vietnam,football,object,True,True,True,True,True,True
uk,religion,object,True,True,True,False,False,False
ultramantrigger,film,object,True,False,False,False,False,False
umamusume,game,object,False,False,True,False,False,False
umbreon,pokemon,object,False,True,False,False,False,False
undertale,game,object,True,False,False,False,False,False
unicorn,animal,object,False,False,False,True,True,True
unitedstatesnationalteam,football,object,True,True,False,False,False,False
universe,,object,True,False,False,True,True,True
uruguaynationalteam,football,object,False,True,False,False,False,False
usa,religion,object,True,True,True,True,True,True
usanationalteam,football,object,False,False,True,False,False,False
usopp,onepiece,object,False,False,True,False,False,False
uzbekistannationalteam,football,object,False,True,False,False,False,False
uzumakinaruto,naruto,object,True,True,True,True,True,True
vagabond,manga,object,False,False,False,True,True,True
valentine,holiday,object,True,True,True,True,True,True
valorant,game,object,False,False,False,True,True,True
vasco,football,object,False,True,False,False,False,False
vascodagama,football,object,False,False,False,True,True,True
vegeta,dragonball,object,True,True,True,True,True,True
vehicle,,object,True,True,True,True,True,True
venice,nature,object,False,True,True,False,False,False
venom,marvel,object,True,True,True,True,True,True
vesak,holiday,object,False,False,False,True,True,True
vietnam,religion,object,True,True,True,True,True,True
village,scenery,object,False,False,False,True,True,True
viniciusjr,football,object,False,False,False,True,True,True
viniciusjunior,football,object,True,True,True,False,False,False
virgendeguadalupe,holiday,object,False,True,True,False,False,False
virgo,zodiac,object,True,False,True,False,False,False
volleyball,sport,object,False,False,False,True,True,True
walle,cartoon,object,False,False,False,True,True,True
waltdisney,cartoon,object,True,True,True,False,False,False
warning,other,object,True,True,True,True,True,True
warningsign,warning,object,False,False,False,True,True,True
warningtext,warning,object,False,False,False,True,True,True
warrior,game,object,False,True,True,True,True,True
water,nature,object,False,True,True,False,False,False
waterfall,nature,object,True,True,True,True,True,True
weapon,cool,object,True,True,True,True,True,True
webarebears,cartoon,object,False,False,False,True,True,True
wednesday,film,object,False,False,True,False,False,False
werewolf,film,object,False,False,False,True,True,True
whale,animal,object,False,True,False,False,False,False
whitebeard,onepiece,object,False,False,True,False,False,False
winniethepooh,cartoon,object,True,True,True,False,False,False
winter,nature,object,True,True,True,True,True,True
witch,film,object,False,True,False,False,False,False
wolf,animal,object,True,True,True,True,True,True
wolverine,film,object,False,True,True,True,True,True
womensday,holiday,object,True,True,True,True,True,True
wonders,scenery,object,False,False,False,True,True,True
wonderwoman,marvel,object,True,False,False,False,False,False
worldcup,football,object,True,True,True,True,True,True
worldtrigger,anime,object,False,False,False,True,True,True
wukong,film,object,False,False,False,True,True,True
xianni,donghua,object,False,False,False,True,True,True
xiaomiwallpaper,abstract,object,True,False,False,False,False,False
yinyang,other,object,True,True,True,True,True,True
yoda,starwars,object,True,True,False,False,False,False
yorforger,spyxfamily,object,True,False,False,True,True,True
yoriichi,demonslayer,object,False,False,True,False,False,False
yoriichitsugikuni,demonslayer,object,False,True,True,False,False,False
yourlieinapril,anime,object,False,True,False,False,False,False
yourname,anime,object,True,True,False,False,False,False
yujiitadori,jujutsukaisen,object,False,False,False,True,True,True
zenitsu,demonslayer,object,True,True,True,False,False,False
zenitsuagatsuma,demonslayer,object,False,False,False,True,True,True
zenlesszonezero,game,object,False,True,False,False,False,False
zerotwo,darlinginthefranxx,object,True,False,False,True,True,True
zipperlock,other,object,False,True,True,False,False,False
zodiac,other,object,True,True,True,True,True,True
zodiacsigns,other,object,False,False,True,False,False,False
zombie,film,object,False,False,False,True,True,True
zombies,halloween,object,True,True,True,False,False,False
zootopia,cartoon,object,True,True,True,True,True,True
zoro,onepiece,object,True,True,True,True,True,True
2d,,style,True,True,True,True,True,True
3d,,style,True,True,True,True,True,True
aesthetic,,style,True,True,True,True,True,True
animeart,,style,True,True,True,True,True,True
cinematic,,style,True,True,True,True,True,True
comic,,style,False,False,False,True,True,True
cute,,style,True,True,True,True,True,True
cyberpunk,,style,True,True,True,True,True,True
digitalart,,style,True,True,True,True,True,True
fantasy,,style,True,True,True,True,True,True
horror,,style,False,False,False,True,True,True
lofi,,style,True,True,True,True,True,True
minimalism,,style,True,True,True,True,True,True
pixelart,,style,True,False,True,True,True,True
realism,,style,True,True,True,True,True,True
scifi,,style,False,False,True,True,True,True
vangogh,,style,True,True,True,False,False,False
vangoghart,,style,False,False,False,True,True,True
black,,color,True,True,True,True,True,True
blackandwhite,,color,True,True,True,True,True,True
blue,,color,True,True,True,True,True,True
brown,,color,True,True,True,True,True,True
cold,,color,True,True,True,True,True,True
colorful,,color,False,False,False,True,True,True
dark,,color,True,True,True,True,True,True
gradient,,color,True,True,True,True,True,True
green,,color,True,True,True,True,True,True
grey,,color,True,False,True,True,True,True
hologram,,color,True,True,True,True,True,True
light,,color,True,True,True,True,True,True
neon,,color,True,True,True,True,True,True
neutral,,color,True,True,True,True,True,True
orange,,color,True,True,True,True,True,True
pastel,,color,True,True,True,True,True,True
pink,,color,True,True,True,True,True,True
purple,,color,True,True,True,True,True,True
red,,color,True,True,True,True,True,True
vibrant,,color,True,True,True,False,False,False
vintage,,color,True,True,True,True,True,True
warm,,color,True,True,True,True,True,True
white,,color,True,True,True,True,True,True
yellow,,color,True,True,True,True,True,True
